dtype,batch_size,seq_len,num_heads,head_dim,total_tokens,normalize,dist,seed,warmup_runs,bench_runs,avg_kernel_ms,min_kernel_ms,max_kernel_ms,check_enabled,max_abs_error,mean_abs_error,rmse,max_rel_error,threshold,pass
fp16,1,128,8,64,1024,true,normal,42,5,20,0.016632,0.007968,0.048064,true,1.900673e-03,1.404129e-04,2.079789e-04,4.880429e-04,1.0e-02,true
fp16,1,128,8,128,1024,true,normal,42,5,20,0.0139552,0.011168,0.034816,true,1.436234e-03,1.407487e-04,2.082942e-04,4.849646e-04,1.0e-02,true
fp16,1,128,8,256,1024,true,normal,42,5,20,0.02072,0.017408,0.0512,true,1.757145e-03,1.405622e-04,2.078740e-04,4.878048e-04,1.0e-02,true
bf16,1,128,8,64,1024,true,normal,42,5,20,0.0097696,0.007168,0.035584,true,9.475708e-03,1.126104e-03,1.666978e-03,3.891051e-03,5.0e-02,true
bf16,1,128,8,128,1024,true,normal,42,5,20,0.0257936,0.011264,0.101376,true,1.455545e-02,1.120032e-03,1.653947e-03,3.888666e-03,5.0e-02,true
bf16,1,128,8,256,1024,true,normal,42,5,20,0.0184688,0.017408,0.020256,true,1.559305e-02,1.127581e-03,1.668414e-03,3.890335e-03,5.0e-02,true
fp16,2,512,16,64,16384,true,normal,42,5,20,0.0500672,0.048128,0.063488,true,1.916885e-03,1.405554e-04,2.077491e-04,4.880429e-04,1.0e-02,true
fp16,4,1024,32,64,131072,true,normal,42,5,20,0.349707,0.346112,0.366592,true,1.948357e-03,1.405488e-04,2.077374e-04,4.880429e-04,1.0e-02,true
fp16,2,512,16,128,16384,true,normal,42,5,20,0.10467,0.096256,0.136192,true,1.951694e-03,1.404651e-04,2.076702e-04,4.873291e-04,1.0e-02,true
fp16,4,1024,32,128,131072,true,normal,42,5,20,0.761304,0.744448,0.791552,true,1.952648e-03,1.405122e-04,2.077034e-04,4.880429e-04,1.0e-02,true
fp16,2,512,16,256,16384,true,normal,42,5,20,0.213254,0.208896,0.233504,true,1.949310e-03,1.406014e-04,2.078399e-04,4.879239e-04,1.0e-02,true
fp16,4,1024,32,256,131072,true,normal,42,5,20,1.655,1.63328,1.75514,true,1.951218e-03,1.405261e-04,2.077079e-04,4.880429e-04,1.0e-02,true
bf16,2,512,16,64,16384,true,normal,42,5,20,0.049448,0.047104,0.0512,true,1.551819e-02,1.126310e-03,1.666216e-03,3.891051e-03,5.0e-02,true
bf16,4,1024,32,64,131072,true,normal,42,5,20,0.347522,0.345088,0.356192,true,1.562500e-02,1.124246e-03,1.661507e-03,3.891051e-03,5.0e-02,true
bf16,2,512,16,128,16384,true,normal,42,5,20,0.0991296,0.098304,0.100352,true,1.555300e-02,1.124685e-03,1.661826e-03,3.890693e-03,5.0e-02,true
bf16,4,1024,32,128,131072,true,normal,42,5,20,0.74681,0.743232,0.750592,true,1.561069e-02,1.124283e-03,1.661711e-03,3.891051e-03,5.0e-02,true
bf16,2,512,16,256,16384,true,normal,42,5,20,0.21113,0.208896,0.22528,true,1.559305e-02,1.125234e-03,1.663166e-03,3.891051e-03,5.0e-02,true
bf16,4,1024,32,256,131072,true,normal,42,5,20,1.67231,1.632,1.72954,true,1.560879e-02,1.124421e-03,1.662068e-03,3.891051e-03,5.0e-02,true
fp16,2,512,16,128,16384,true,uniform,42,5,20,0.0988864,0.09824,0.1024,true,9.758472e-04,8.130269e-05,1.200664e-04,4.870911e-04,1.0e-02,true
fp16,2,512,16,128,16384,true,outlier,42,5,20,0.10039,0.09728,0.112672,true,7.806778e-03,6.317273e-04,9.497283e-04,4.880429e-04,1.0e-02,true
bf16,2,512,16,128,16384,true,uniform,42,5,20,0.0990112,0.09728,0.104128,true,7.802486e-03,6.496911e-04,9.598196e-04,3.890341e-03,5.0e-02,true
bf16,2,512,16,128,16384,true,outlier,42,5,20,0.101477,0.098304,0.123904,true,6.248474e-02,5.052731e-03,7.599854e-03,3.890455e-03,5.0e-02,false
