path,bytes,sha256,kind,reason
results/ncu_retry_16975372/fused_int4.ncu-rep,579083,c39331ccf45d151188ebf3d46f09b03ce9336bc8d7f9e3441c6550d75e418e3d,file,raw binary artifact (summary retained)
results/ncu_retry_16975372/optimized.ncu-rep,574259,57df1e85fd1afa7c54854a0c17cc1fba20bea95072431826cc0368d0410f67d2,file,raw binary artifact (summary retained)
results/optimization_16970010/nsys_advanced_fp16_hd128.nsys-rep,334067,d27537c305007528b70cafb3765cf0b1aa387657f5bc6bd0ae3fb17e8a3863e7,file,raw binary artifact (summary retained)
results/optimization_16970010/nsys_advanced_fp16_hd128.sqlite,729088,5b28be8470330a16669db8a913f17b2c5aeba1f37a03d453747c88daabed0344,file,raw binary artifact (summary retained)
results/profile_16967596/nsys_fp16_hd128_tokens131072.nsys-rep,438201,0019e92b97dd577c6ddcd16726f5e71f3dab99802f90ace9b80815c3068b94db,file,raw binary artifact (summary retained)
results/profile_16967596/nsys_fp16_hd128_tokens131072.sqlite,782336,d66d3926cc86f390d01ea3fa6c3549f3e4ad704416c67fb1e099a9d95bddbb1d,file,raw binary artifact (summary retained)
scripts/__pycache__/parse_ncu.cpython-312.pyc,11952,d66fdb2b30935bfc2d734cda008ea09d7f6a34c75d169de8068e7c9e65b46eea,file,Python bytecode cache
scripts/__pycache__/plot_advanced.cpython-312.pyc,5196,08b0dc1af353f78aeb510ad55a9c2efd6fb73266c577d0dc42ef79a63ac61caf,file,Python bytecode cache
scripts/__pycache__/plot_ncu_retry.cpython-312.pyc,5286,8c12cf13cec27935bc08d15204229b6920db52204766af5ba89ae55a5824d61a,file,Python bytecode cache
scripts/__pycache__/plot_nsys.cpython-312.pyc,6727,166a938ff42245338df5bf3d0ed908e79c9cd22216cfdfdff0400661af893962,file,Python bytecode cache
scripts/__pycache__/plot_profiles.cpython-312.pyc,10085,f84a922dda9f0509b61d6e2703fc0b8bf64c12536ca8a52e25d4868ba5e215cb,file,Python bytecode cache
scripts/__pycache__/summarize_advanced.cpython-312.pyc,8507,64584da8a5f6f80ba3c33ef1580d7543f8a25ac92fd7fc464239c9b8c9304b76,file,Python bytecode cache
scripts/__pycache__/summarize_ncu_retry.cpython-312.pyc,4086,5cf2d06fe3885ad3717d4a0b91974552787bf394a2c1b252444feaad1841af7c,file,Python bytecode cache
scripts/__pycache__/summarize_nsys.cpython-312.pyc,6440,c9c6ec13c2186e08e68b450a6c999f05d01c25522750bcd60fa6e9ed9f3a29cf,file,Python bytecode cache
scripts/__pycache__/timings_to_metrics.cpython-312.pyc,4642,c08ac509bab9489ec5b2715d9fc3d8c801da7d6074305a60c966f4d02f575bb1,file,Python bytecode cache
tensor_core/results/audit_17249309/source_snapshot.tar.gz,52797,1197db80c56b7534d9113fbdbf8bd40f979e3a5c8e21ce3f3d2155133b8c6fdf,file,raw binary artifact (summary retained)
tensor_core/results/compile_17291054/bridge.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,file,empty log
tensor_core/results/compile_17291054/mma.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,file,empty log
tensor_core/results/compile_17291054/smoke.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,file,empty log
tensor_core/results/compile_17291054/trace.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,file,empty log
tensor_core/results/guard_quant_17294196/build_control.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,file,empty log
tensor_core/results/guard_quant_17294196/build_guard.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,file,empty log
tensor_core/results/guard_quant_17294196/build_selective.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,file,empty log
tensor_core/results/guard_quant_17294196/guard_validation.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,file,empty log
tensor_core/results/guard_quant_17294196/quant_validation.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,file,empty log
