dtype,head_dim,normalize,batch_size,seq_len,num_heads,total_tokens,max_abs_error,mean_abs_error,rmse,max_rel_error,bit_exact_ratio,threshold,pass
fp16,64,True,1,128,8,1024,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,64,False,1,128,8,1024,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,64,True,2,512,16,16384,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,64,False,2,512,16,16384,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,64,True,4,1024,32,131072,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,64,False,4,1024,32,131072,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,128,True,1,128,8,1024,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,128,False,1,128,8,1024,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,128,True,2,512,16,16384,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,128,False,2,512,16,16384,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,128,True,4,1024,32,131072,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,128,False,4,1024,32,131072,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,256,True,1,128,8,1024,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,256,False,1,128,8,1024,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,256,True,2,512,16,16384,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,256,False,2,512,16,16384,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,256,True,4,1024,32,131072,0.0,0.0,0.0,0.0,1.0,0.01,True
fp16,256,False,4,1024,32,131072,0.0,0.0,0.0,0.0,1.0,0.01,True
bf16,64,True,1,128,8,1024,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,64,False,1,128,8,1024,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,64,True,2,512,16,16384,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,64,False,2,512,16,16384,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,64,True,4,1024,32,131072,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,64,False,4,1024,32,131072,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,128,True,1,128,8,1024,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,128,False,1,128,8,1024,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,128,True,2,512,16,16384,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,128,False,2,512,16,16384,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,128,True,4,1024,32,131072,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,128,False,4,1024,32,131072,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,256,True,1,128,8,1024,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,256,False,1,128,8,1024,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,256,True,2,512,16,16384,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,256,False,2,512,16,16384,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,256,True,4,1024,32,131072,0.0,0.0,0.0,0.0,1.0,0.05,True
bf16,256,False,4,1024,32,131072,0.0,0.0,0.0,0.0,1.0,0.05,True
