dtype,batch_size,seq_len,num_heads,head_dim,total_tokens,implementation,warmup_runs,bench_runs,avg_ms,min_ms,max_ms,speedup_vs_baseline,fused_speedup_vs_unfused,output_bytes,compression_ratio,optimized_vs_baseline_bit_exact,fused_vs_unfused_bit_exact,gpu_vs_cpu_quant_bit_exact,quant_max_abs_error,quant_mae,quant_rmse
fp16,4,1024,32,64,131072,baseline,20,100,0.0734256,0.072832,0.074816,1,,16777216,1,true,true,true,,,
fp16,4,1024,32,64,131072,optimized,20,100,0.0214957,0.0208,0.031168,3.41583,,16777216,1,true,true,true,,,
fp16,4,1024,32,64,131072,unfused_int4,20,100,0.0926832,0.09232,0.093504,0.792221,,4718592,3.55556,true,true,true,0.361154,0.091222,0.107527
fp16,4,1024,32,64,131072,fused_int4,20,100,0.0733386,0.0728,0.076672,1.00119,1.26377,4718592,3.55556,true,true,true,0.361154,0.091222,0.107527
fp16,4,1024,32,128,131072,baseline,20,100,0.109366,0.108832,0.115328,1,,33554432,1,true,true,true,,,
fp16,4,1024,32,128,131072,optimized,20,100,0.0386243,0.038144,0.040128,2.83153,,33554432,1,true,true,true,,,
fp16,4,1024,32,128,131072,unfused_int4,20,100,0.110495,0.110048,0.112864,0.989783,,8912896,3.76471,true,true,true,0.372768,0.100212,0.117268
fp16,4,1024,32,128,131072,fused_int4,20,100,0.0734067,0.0728,0.078848,1.48986,1.50524,8912896,3.76471,true,true,true,0.372768,0.100212,0.117268
fp16,4,1024,32,256,131072,baseline,20,100,0.240745,0.240128,0.24832,1,,67108864,1,true,true,true,,,
fp16,4,1024,32,256,131072,optimized,20,100,0.193637,0.182208,0.20112,1.24328,,67108864,1,true,true,true,,,
fp16,4,1024,32,256,131072,unfused_int4,20,100,0.240771,0.236704,0.246528,0.999895,,17301504,3.87879,true,true,true,0.410854,0.108373,0.126302
fp16,4,1024,32,256,131072,fused_int4,20,100,0.104469,0.103008,0.113408,2.30446,2.3047,17301504,3.87879,true,true,true,0.410854,0.108373,0.126302
bf16,4,1024,32,64,131072,baseline,20,100,0.0735475,0.072768,0.080896,1,,16777216,1,true,true,true,,,
bf16,4,1024,32,64,131072,optimized,20,100,0.0215094,0.020864,0.028032,3.41931,,16777216,1,true,true,true,,,
bf16,4,1024,32,64,131072,unfused_int4,20,100,0.0927901,0.092224,0.09728,0.792623,,4718592,3.55556,true,true,true,0.366071,0.0912224,0.107532
bf16,4,1024,32,64,131072,fused_int4,20,100,0.073431,0.072928,0.074336,1.00159,1.26364,4718592,3.55556,true,true,true,0.366071,0.0912224,0.107532
bf16,4,1024,32,128,131072,baseline,20,100,0.109525,0.108896,0.112544,1,,33554432,1,true,true,true,,,
bf16,4,1024,32,128,131072,optimized,20,100,0.0389069,0.038112,0.042048,2.81505,,33554432,1,true,true,true,,,
bf16,4,1024,32,128,131072,unfused_int4,20,100,0.110558,0.109952,0.113376,0.990657,,8912896,3.76471,true,true,true,0.375,0.100215,0.117274
bf16,4,1024,32,128,131072,fused_int4,20,100,0.0735354,0.072864,0.074656,1.48942,1.50346,8912896,3.76471,true,true,true,0.375,0.100215,0.117274
bf16,4,1024,32,256,131072,baseline,20,100,0.240985,0.240096,0.247712,1,,67108864,1,true,true,true,,,
bf16,4,1024,32,256,131072,optimized,20,100,0.192818,0.180224,0.20032,1.24981,,67108864,1,true,true,true,,,
bf16,4,1024,32,256,131072,unfused_int4,20,100,0.240689,0.237152,0.247552,1.00123,,17301504,3.87879,true,true,true,0.408482,0.108373,0.126305
bf16,4,1024,32,256,131072,fused_int4,20,100,0.103401,0.102464,0.104928,2.33059,2.32773,17301504,3.87879,true,true,true,0.408482,0.108373,0.126305
