Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
93.9,118880470,7,16982924.3,66520.0,5358,118600770,44809267.5,cudaMalloc
2.1,2673460,7,381922.9,276512.0,23851,751690,316141.1,cudaMemcpy
1.0,1304247,130,10032.7,3394.0,2970,746124,65149.6,cudaLaunchKernel
1.0,1247490,1,1247490.0,1247490.0,1247490,1247490,0.0,cuLibraryLoadData
0.8,981089,80,12263.6,12218.0,6411,17067,3322.9,cudaEventSynchronize
0.5,687285,7,98183.6,115983.0,4762,231570,78267.7,cudaFree
0.4,487518,160,3047.0,2948.0,1961,19114,1398.5,cudaEventRecord
0.1,171643,5,34328.6,40631.0,13802,49811,17300.4,cudaStreamSynchronize
0.0,49809,1,49809.0,49809.0,49809,49809,0.0,cudaStreamCreate
0.0,19535,1,19535.0,19535.0,19535,19535,0.0,cudaStreamDestroy
0.0,17435,8,2179.4,455.0,392,13022,4401.0,cudaEventCreate
0.0,11777,130,90.6,76.0,62,540,76.3,cuKernelGetName
0.0,4305,8,538.1,349.0,300,1769,502.4,cudaEventDestroy
0.0,1571,4,392.8,344.0,326,557,110.1,cuLibraryGetKernel
0.0,1062,1,1062.0,1062.0,1062,1062,0.0,cuModuleGetLoadingMode
0.0,208,1,208.0,208.0,208,208,0.0,cudaGetDeviceProperties_v12000
