api_name,calls,total_ms,avg_us,min_us,max_us
cudaMalloc_v3020,7,118.88047,16982.9243,5.358,118600.77
cudaMemcpy_v3020,7,2.67346,381.922857,23.851,751.69
cudaLaunchKernel_v7000,130,1.304247,10.0326692,2.97,746.124
cuLibraryLoadData,1,1.24749,1247.49,1247.49,1247.49
cudaEventSynchronize_v3020,80,0.981089,12.2636125,6.411,17.067
cudaFree_v3020,7,0.687285,98.1835714,4.762,231.57
cudaEventRecord_v3020,160,0.487518,3.0469875,1.961,19.114
cudaStreamSynchronize_v3020,5,0.171643,34.3286,13.802,49.811
cudaStreamCreate_v3020,1,0.049809,49.809,49.809,49.809
cudaStreamDestroy_v5050,1,0.019535,19.535,19.535,19.535
cudaEventCreate_v3020,8,0.017435,2.179375,0.392,13.022
cuKernelGetName,130,0.011777,0.0905923077,0.062,0.54
cudaEventDestroy_v3020,8,0.004305,0.538125,0.3,1.769
cuLibraryGetKernel,4,0.001571,0.39275,0.326,0.557
cuModuleGetLoadingMode,1,0.001062,1.062,1.062,1.062
cudaGetDeviceProperties_v12000,1,0.000208,0.208,0.208,0.208
