api_name,calls,total_ms,avg_us,min_us,max_us
cudaMalloc_v3020,2,126.098955,63049.4775,90.976,126007.979
cudaEventSynchronize_v3020,50,5.507548,110.15096,104.376,110.803
cudaMemcpy_v3020,1,3.88157,3881.57,3881.57,3881.57
cudaFree_v3020,2,0.965008,482.504,287.307,677.701
cudaDeviceSynchronize_v3020,2,0.63149,315.745,106.51,524.98
cudaLaunchKernel_v7000,56,0.496755,8.870625,3.519,258.276
cuLibraryLoadData,1,0.334447,334.447,334.447,334.447
cudaEventRecord_v3020,100,0.221391,2.21391,1.563,8.182
cudaStreamCreate_v3020,1,0.043975,43.975,43.975,43.975
cudaStreamDestroy_v5050,1,0.013149,13.149,13.149,13.149
cudaEventCreate_v3020,2,0.00986,4.93,2.608,7.252
cuKernelGetName,56,0.006505,0.116160714,0.087,0.914
cudaEventDestroy_v3020,2,0.00272,1.36,0.524,2.196
cuModuleGetLoadingMode,1,0.001319,1.319,1.319,1.319
cuLibraryGetKernel,1,0.000405,0.405,0.405,0.405
cudaGetDeviceProperties_v12000,1,0.000237,0.237,0.237,0.237
