gpu,variant,dtype,head_dim,implementation,repeats,median_us,min_us,max_us
NVIDIA H200,w2_tc2_v0,bf16,64,baseline,3,84.367,84.3555,84.4682
NVIDIA H200,w2_tc2_v0,bf16,64,fused_opt_int4,3,84.3238,84.297,84.4403
NVIDIA H200,w2_tc2_v0,bf16,64,fused_tc_fast_int4,3,28.4822,28.4317,28.566100000000002
NVIDIA H200,w2_tc2_v0,bf16,64,fused_tc_split_int4,3,34.0483,33.986200000000004,34.0547
NVIDIA H200,w2_tc2_v0,bf16,64,fused_warp_int4,3,44.935,44.839999999999996,44.9654
NVIDIA H200,w2_tc2_v0,bf16,64,optimized,3,24.9974,24.9616,25.0301
NVIDIA H200,w2_tc2_v0,bf16,64,tc_fast,3,28.2624,28.2195,28.373800000000003
NVIDIA H200,w2_tc2_v0,bf16,64,tc_split,3,33.7459,33.7389,33.832300000000004
NVIDIA H200,w2_tc2_v0,bf16,64,unfused_int4,3,126.15499999999999,126.06800000000001,126.167
NVIDIA H200,w2_tc2_v0,bf16,64,warp,3,44.5734,44.5366,44.6224
NVIDIA H200,w2_tc2_v0,bf16,128,baseline,3,100.34800000000001,100.191,100.355
NVIDIA H200,w2_tc2_v0,bf16,128,fused_opt_int4,3,84.8806,84.8781,84.9715
NVIDIA H200,w2_tc2_v0,bf16,128,fused_tc_fast_int4,3,51.2659,51.1811,51.317099999999996
NVIDIA H200,w2_tc2_v0,bf16,128,fused_tc_split_int4,3,62.2915,62.290600000000005,62.3994
NVIDIA H200,w2_tc2_v0,bf16,128,fused_warp_int4,3,45.1952,45.059200000000004,45.2768
NVIDIA H200,w2_tc2_v0,bf16,128,optimized,3,45.3366,45.2832,45.432599999999994
NVIDIA H200,w2_tc2_v0,bf16,128,tc_fast,3,50.9946,50.983399999999996,51.1203
NVIDIA H200,w2_tc2_v0,bf16,128,tc_split,3,62.017,61.928999999999995,62.1571
NVIDIA H200,w2_tc2_v0,bf16,128,unfused_int4,3,126.7,126.62799999999999,127.087
NVIDIA H200,w2_tc2_v0,bf16,128,warp,3,44.7853,44.769000000000005,44.8979
NVIDIA H200,w2_tc2_v0,bf16,256,baseline,3,197.917,197.833,198.017
NVIDIA H200,w2_tc2_v0,bf16,256,fused_opt_int4,3,98.9549,98.9206,99.05890000000001
NVIDIA H200,w2_tc2_v0,bf16,256,fused_tc_fast_int4,3,96.6941,96.6278,96.8541
NVIDIA H200,w2_tc2_v0,bf16,256,fused_tc_split_int4,3,119.092,118.852,119.25099999999999
NVIDIA H200,w2_tc2_v0,bf16,256,fused_warp_int4,3,52.3293,52.293800000000005,52.384600000000006
NVIDIA H200,w2_tc2_v0,bf16,256,optimized,3,85.3408,85.2115,85.3411
NVIDIA H200,w2_tc2_v0,bf16,256,tc_fast,3,95.98429999999999,95.9504,96.081
NVIDIA H200,w2_tc2_v0,bf16,256,tc_split,3,117.827,117.82,117.953
NVIDIA H200,w2_tc2_v0,bf16,256,unfused_int4,3,127.724,127.65199999999999,128.00300000000001
NVIDIA H200,w2_tc2_v0,bf16,256,warp,3,45.6134,45.4768,45.6374
NVIDIA H200,w2_tc2_v0,bf16,512,baseline,3,413.202,413.164,413.272
NVIDIA H200,w2_tc2_v0,bf16,512,fused_opt_int4,3,209.784,209.694,209.888
NVIDIA H200,w2_tc2_v0,bf16,512,fused_warp_int4,3,85.3616,85.0016,85.42909999999999
NVIDIA H200,w2_tc2_v0,bf16,512,optimized,3,162.899,162.78400000000002,162.981
NVIDIA H200,w2_tc2_v0,bf16,512,tc_fast,3,171.953,171.883,171.964
NVIDIA H200,w2_tc2_v0,bf16,512,tc_split,3,217.68,217.651,217.689
NVIDIA H200,w2_tc2_v0,bf16,512,unfused_int4,3,212.405,212.326,212.54700000000003
NVIDIA H200,w2_tc2_v0,bf16,512,warp,3,72.9085,72.6733,73.0243
NVIDIA H200,w2_tc2_v0,bf16,1024,baseline,3,916.91,916.126,916.9150000000001
NVIDIA H200,w2_tc2_v0,bf16,1024,fused_opt_int4,3,468.647,468.51599999999996,468.75
NVIDIA H200,w2_tc2_v0,bf16,1024,fused_warp_int4,3,174.28199999999998,174.28099999999998,174.29500000000002
NVIDIA H200,w2_tc2_v0,bf16,1024,optimized,3,365.159,365.06699999999995,365.21700000000004
NVIDIA H200,w2_tc2_v0,bf16,1024,tc_fast,3,317.173,316.946,317.26
NVIDIA H200,w2_tc2_v0,bf16,1024,tc_split,3,409.721,409.503,409.926
NVIDIA H200,w2_tc2_v0,bf16,1024,unfused_int4,3,468.689,468.4,468.9
NVIDIA H200,w2_tc2_v0,bf16,1024,warp,3,170.00799999999998,169.91400000000002,170.142
NVIDIA H200,w2_tc2_v0,fp16,64,baseline,3,84.3827,84.3501,84.38850000000001
NVIDIA H200,w2_tc2_v0,fp16,64,fused_opt_int4,3,84.38239999999999,84.2854,84.43299999999999
NVIDIA H200,w2_tc2_v0,fp16,64,fused_tc_fast_int4,3,27.3056,27.2851,27.3235
NVIDIA H200,w2_tc2_v0,fp16,64,fused_tc_split_int4,3,32.3411,32.2944,32.372499999999995
NVIDIA H200,w2_tc2_v0,fp16,64,fused_warp_int4,3,44.9318,44.8806,44.9581
NVIDIA H200,w2_tc2_v0,fp16,64,optimized,3,25.0304,24.9968,25.0883
NVIDIA H200,w2_tc2_v0,fp16,64,tc_fast,3,27.144000000000002,27.1315,27.168000000000003
NVIDIA H200,w2_tc2_v0,fp16,64,tc_split,3,32.156200000000005,32.1398,32.1674
NVIDIA H200,w2_tc2_v0,fp16,64,unfused_int4,3,126.11500000000001,126.112,126.24199999999999
NVIDIA H200,w2_tc2_v0,fp16,64,warp,3,44.622099999999996,44.6029,44.76
NVIDIA H200,w2_tc2_v0,fp16,128,baseline,3,100.319,100.273,100.385
NVIDIA H200,w2_tc2_v0,fp16,128,fused_opt_int4,3,84.8787,84.8381,84.94019999999999
NVIDIA H200,w2_tc2_v0,fp16,128,fused_tc_fast_int4,3,48.943,48.9152,49.007000000000005
NVIDIA H200,w2_tc2_v0,fp16,128,fused_tc_split_int4,3,58.8496,58.7709,59.04
NVIDIA H200,w2_tc2_v0,fp16,128,fused_warp_int4,3,45.1242,45.1216,45.2701
NVIDIA H200,w2_tc2_v0,fp16,128,optimized,3,45.3462,45.2541,45.425599999999996
NVIDIA H200,w2_tc2_v0,fp16,128,tc_fast,3,48.865,48.7709,48.903
NVIDIA H200,w2_tc2_v0,fp16,128,tc_split,3,58.8877,58.8006,58.997800000000005
NVIDIA H200,w2_tc2_v0,fp16,128,unfused_int4,3,126.69,126.59599999999999,126.907
NVIDIA H200,w2_tc2_v0,fp16,128,warp,3,44.860200000000006,44.8125,44.8842
NVIDIA H200,w2_tc2_v0,fp16,256,baseline,3,198.077,198.031,198.189
NVIDIA H200,w2_tc2_v0,fp16,256,fused_opt_int4,3,98.3677,98.2314,98.416
NVIDIA H200,w2_tc2_v0,fp16,256,fused_tc_fast_int4,3,92.2205,92.1952,92.3635
NVIDIA H200,w2_tc2_v0,fp16,256,fused_tc_split_int4,3,112.368,112.259,112.551
NVIDIA H200,w2_tc2_v0,fp16,256,fused_warp_int4,3,51.5392,51.4685,51.6186
NVIDIA H200,w2_tc2_v0,fp16,256,optimized,3,85.2752,85.24220000000001,85.3226
NVIDIA H200,w2_tc2_v0,fp16,256,tc_fast,3,91.8016,91.7229,91.8813
NVIDIA H200,w2_tc2_v0,fp16,256,tc_split,3,111.748,111.634,111.837
NVIDIA H200,w2_tc2_v0,fp16,256,unfused_int4,3,127.86200000000001,127.84799999999998,127.87299999999999
NVIDIA H200,w2_tc2_v0,fp16,256,warp,3,45.647,45.591,45.6499
NVIDIA H200,w2_tc2_v0,fp16,512,baseline,3,413.127,413.04400000000004,413.565
NVIDIA H200,w2_tc2_v0,fp16,512,fused_opt_int4,3,207.832,207.604,207.84900000000002
NVIDIA H200,w2_tc2_v0,fp16,512,fused_warp_int4,3,81.7853,81.5626,82.0221
NVIDIA H200,w2_tc2_v0,fp16,512,optimized,3,162.149,162.1,162.33
NVIDIA H200,w2_tc2_v0,fp16,512,tc_fast,3,163.252,163.177,163.59199999999998
NVIDIA H200,w2_tc2_v0,fp16,512,tc_split,3,205.49200000000002,205.357,205.76500000000001
NVIDIA H200,w2_tc2_v0,fp16,512,unfused_int4,3,212.57899999999998,212.331,213.024
NVIDIA H200,w2_tc2_v0,fp16,512,warp,3,73.233,73.18299999999999,73.4493
NVIDIA H200,w2_tc2_v0,fp16,1024,baseline,3,916.2940000000001,916.25,916.708
NVIDIA H200,w2_tc2_v0,fp16,1024,fused_opt_int4,3,464.385,464.37,464.441
NVIDIA H200,w2_tc2_v0,fp16,1024,fused_warp_int4,3,172.701,172.683,172.739
NVIDIA H200,w2_tc2_v0,fp16,1024,optimized,3,363.75800000000004,363.70000000000005,363.79299999999995
NVIDIA H200,w2_tc2_v0,fp16,1024,tc_fast,3,305.76,305.68899999999996,305.85200000000003
NVIDIA H200,w2_tc2_v0,fp16,1024,tc_split,3,389.611,389.57000000000005,389.638
NVIDIA H200,w2_tc2_v0,fp16,1024,unfused_int4,3,468.40700000000004,468.226,468.646
NVIDIA H200,w2_tc2_v0,fp16,1024,warp,3,170.7,170.66500000000002,170.9
NVIDIA H200,w4_tc4_v0,bf16,64,baseline,3,84.5104,84.4784,84.5318
NVIDIA H200,w4_tc4_v0,bf16,64,fused_opt_int4,3,84.3907,84.3638,84.4234
NVIDIA H200,w4_tc4_v0,bf16,64,fused_tc_fast_int4,3,27.7181,27.6554,27.752599999999997
NVIDIA H200,w4_tc4_v0,bf16,64,fused_tc_split_int4,3,33.346199999999996,33.24,33.5136
NVIDIA H200,w4_tc4_v0,bf16,64,fused_warp_int4,3,25.3024,25.2893,25.4106
NVIDIA H200,w4_tc4_v0,bf16,64,optimized,3,25.127,25.0771,25.2058
NVIDIA H200,w4_tc4_v0,bf16,64,tc_fast,3,27.4358,27.4058,27.4522
NVIDIA H200,w4_tc4_v0,bf16,64,tc_split,3,32.8701,32.838699999999996,32.9168
NVIDIA H200,w4_tc4_v0,bf16,64,unfused_int4,3,106.89800000000001,106.82600000000001,106.99
NVIDIA H200,w4_tc4_v0,bf16,64,warp,3,25.048299999999998,24.992,25.084200000000003
