gpu,dtype,batch_size,seq_len,num_heads,head_dim,total_tokens,normalize,warmup_runs,bench_runs,implementation,kind,avg_ms,min_ms,max_ms,speedup_vs_baseline,speedup_vs_best_non_tc,max_abs_error,rmse,max_rel_error,max_ulp_error,bit_exact_vs_optimized,quant_vs_unfused,reference_source,reference_max_abs_error,absolute_pass,pdf_verified,validated_elements,fp64_ref_tokens
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,baseline,transform,0.0843827,0.083904,0.08496,1,0.296629,0.00190067,0.000207652,0.000474557,0.5,1,n/a,optimized_regression,0,1,0,8388608,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,optimized,transform,0.0250304,0.024576,0.02592,3.37121,1,0.00190067,0.000207652,0.000474557,0.5,1,n/a,optimized_regression,0,1,0,8388608,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,warp,transform,0.0446029,0.044224,0.045504,1.89187,0.561183,0.00190067,0.000207652,0.000474557,0.5,1,n/a,optimized_regression,0,1,0,8388608,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,tc_fast,transform,0.027144,0.026752,0.02896,3.10871,0.922134,0.00213766,0.000296304,0.000786303,1.24414,0.59799,n/a,optimized_regression,0.00390625,1,0,8388608,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,tc_split,transform,0.0321398,0.031808,0.032512,2.62549,0.778797,0.00190067,0.000207652,0.000474557,0.5,0.999989,n/a,optimized_regression,0.00195312,1,0,8388608,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,unfused_int4,fused_int4,0.126112,0.125504,0.127296,1,0.35588,,,,,,reference,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,fused_opt_int4,fused_int4,0.0842854,0.083904,0.084576,1.49625,0.532484,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,fused_warp_int4,fused_int4,0.0448806,0.044544,0.045312,2.80994,1,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,fused_tc_fast_int4,fused_int4,0.0272851,0.026912,0.027776,4.62199,1.64488,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,fused_tc_split_int4,fused_int4,0.0323725,0.031968,0.03888,3.89564,1.38638,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,baseline,transform,0.100273,0.09952,0.103968,1,0.447382,0.00181342,0.000207847,0.00046335,0.500005,1,n/a,optimized_regression,0,1,0,16777216,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,optimized,transform,0.0452541,0.044608,0.04624,2.21577,0.991295,0.00181342,0.000207847,0.00046335,0.500005,1,n/a,optimized_regression,0,1,0,16777216,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,warp,transform,0.0448602,0.04432,0.052672,2.23523,1,0.00181342,0.000207847,0.00046335,0.500005,1,n/a,optimized_regression,0,1,0,16777216,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,tc_fast,transform,0.0487709,0.04832,0.049568,2.05599,0.919814,0.00211911,0.000293658,0.000756421,0.995379,0.586755,n/a,optimized_regression,0.00390625,1,0,16777216,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,tc_split,transform,0.0588877,0.058336,0.069152,1.70278,0.761792,0.00181342,0.000207847,0.00046335,0.500005,0.999985,n/a,optimized_regression,0.00195312,1,0,16777216,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,unfused_int4,fused_int4,0.126596,0.125824,0.127744,1,0.356422,,,,,,reference,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,fused_opt_int4,fused_int4,0.0848381,0.084416,0.085504,1.49221,0.531856,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,fused_warp_int4,fused_int4,0.0451216,0.04464,0.048544,2.80566,1,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,fused_tc_fast_int4,fused_int4,0.048943,0.048352,0.053504,2.5866,0.921921,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,fused_tc_split_int4,fused_int4,0.0587709,0.058336,0.059264,2.15406,0.767754,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,256,131072,true,20,100,baseline,transform,0.198189,0.19744,0.199488,1,0.230038,0.00176239,0.000207763,0.000442476,0.500061,1,n/a,optimized_regression,0,1,0,33554432,4096
NVIDIA H200,fp16,4,1024,32,256,131072,true,20,100,optimized,transform,0.0852752,0.084288,0.08992,2.32412,0.534634,0.00176239,0.000207763,0.000442476,0.500061,1,n/a,optimized_regression,0,1,0,33554432,4096
NVIDIA H200,fp16,4,1024,32,256,131072,true,20,100,warp,transform,0.045591,0.044864,0.04688,4.34711,1,0.00176239,0.000207763,0.000442476,0.500061,1,n/a,optimized_regression,0,1,0,33554432,4096
NVIDIA H200,fp16,4,1024,32,256,131072,true,20,100,tc_fast,transform,0.0918813,0.091264,0.096352,2.15702,0.496195,0.00224876,0.000293846,0.000677503,0.924377,0.579909,n/a,optimized_regression,0.00390625,1,0,33554432,4096
NVIDIA H200,fp16,4,1024,32,256,131072,true,20,100,tc_split,transform,0.111837,0.111328,0.112832,1.77213,0.407656,0.00176239,0.000207763,0.000442476,0.500061,0.999958,n/a,optimized_regression,0.00195312,1,0,33554432,4096
NVIDIA H200,fp16,4,1024,32,256,131072,true,20,100,unfused_int4,fused_int4,0.127862,0.126304,0.13232,1,0.403705,,,,,,reference,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,256,131072,true,20,100,fused_opt_int4,fused_int4,0.0983677,0.097408,0.101408,1.29984,0.524751,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,256,131072,true,20,100,fused_warp_int4,fused_int4,0.0516186,0.05088,0.052704,2.47706,1,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,256,131072,true,20,100,fused_tc_fast_int4,fused_int4,0.0923635,0.091936,0.09344,1.38434,0.558863,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,256,131072,true,20,100,fused_tc_split_int4,fused_int4,0.112551,0.112,0.122656,1.13604,0.458625,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,512,131072,true,20,100,baseline,transform,0.413044,0.412384,0.414624,1,0.17718,0.00193456,0.000207935,0.000468074,0.500093,1,n/a,optimized_regression,0,1,0,67108864,4096
NVIDIA H200,fp16,4,1024,32,512,131072,true,20,100,optimized,transform,0.1621,0.161024,0.165952,2.54809,0.45147,0.00193456,0.000207935,0.000468074,0.500093,1,n/a,optimized_regression,0,1,0,67108864,4096
NVIDIA H200,fp16,4,1024,32,512,131072,true,20,100,warp,transform,0.073183,0.071488,0.07456,5.64399,1,0.00193456,0.000207935,0.000468074,0.500093,1,n/a,optimized_regression,0,1,0,67108864,4096
NVIDIA H200,fp16,4,1024,32,512,131072,true,20,100,tc_fast,transform,0.163177,0.16272,0.164128,2.53127,0.44849,0.00212226,0.00029405,0.000633904,0.995366,0.577125,n/a,optimized_regression,0.00390625,1,0,67108864,4096
NVIDIA H200,fp16,4,1024,32,512,131072,true,20,100,tc_split,transform,0.205357,0.204896,0.206496,2.01135,0.35637,0.00193456,0.000207935,0.000468074,0.500093,0.999922,n/a,optimized_regression,0.00195312,1,0,67108864,4096
NVIDIA H200,fp16,4,1024,32,512,131072,true,20,100,unfused_int4,fused_int4,0.212331,0.211072,0.2136,1,0.38413,,,,,,reference,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,512,131072,true,20,100,fused_opt_int4,fused_int4,0.207604,0.206464,0.21104,1.02277,0.392877,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,512,131072,true,20,100,fused_warp_int4,fused_int4,0.0815626,0.080672,0.082432,2.60329,1,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,1024,131072,true,20,100,baseline,transform,0.916708,0.91552,0.922016,1,0.186172,0.00194907,0.000207724,0.000471425,0.500119,1,n/a,optimized_regression,0,1,0,134217728,4096
NVIDIA H200,fp16,4,1024,32,1024,131072,true,20,100,optimized,transform,0.363758,0.362624,0.36512,2.5201,0.469173,0.00194907,0.000207724,0.000471425,0.500119,1,n/a,optimized_regression,0,1,0,134217728,4096
NVIDIA H200,fp16,4,1024,32,1024,131072,true,20,100,warp,transform,0.170665,0.169696,0.171744,5.37138,1,0.00194907,0.000207724,0.000471425,0.500119,1,n/a,optimized_regression,0,1,0,134217728,4096
NVIDIA H200,fp16,4,1024,32,1024,131072,true,20,100,tc_fast,transform,0.30576,0.305152,0.306752,2.99813,0.558167,0.00218087,0.000293845,0.000590885,0.92984,0.575659,n/a,optimized_regression,0.00390625,1,0,134217728,4096
NVIDIA H200,fp16,4,1024,32,1024,131072,true,20,100,tc_split,transform,0.38957,0.38896,0.390272,2.35313,0.438086,0.00194907,0.000207724,0.000471425,0.500122,0.99987,n/a,optimized_regression,0.00195312,1,0,134217728,4096
NVIDIA H200,fp16,4,1024,32,1024,131072,true,20,100,unfused_int4,fused_int4,0.468407,0.465856,0.48,1,0.36878,,,,,,reference,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,1024,131072,true,20,100,fused_opt_int4,fused_int4,0.464385,0.463232,0.465504,1.00866,0.371974,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,1024,131072,true,20,100,fused_warp_int4,fused_int4,0.172739,0.17216,0.177216,2.71164,1,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,bf16,4,1024,32,64,131072,true,20,100,baseline,transform,0.0843555,0.083872,0.085152,1,0.295909,0.0149536,0.00166403,0.00376828,0.5,1,n/a,optimized_regression,0,1,0,8388608,4096
NVIDIA H200,bf16,4,1024,32,64,131072,true,20,100,optimized,transform,0.0249616,0.024512,0.026112,3.37941,1,0.0149536,0.00166403,0.00376828,0.5,1,n/a,optimized_regression,0,1,0,8388608,4096
NVIDIA H200,bf16,4,1024,32,64,131072,true,20,100,warp,transform,0.0445734,0.044192,0.045216,1.89251,0.560011,0.0149536,0.00166403,0.00376828,0.5,1,n/a,optimized_regression,0,1,0,8388608,4096
NVIDIA H200,bf16,4,1024,32,64,131072,true,20,100,tc_fast,transform,0.0282195,0.027872,0.028992,2.98926,0.884551,0.0193481,0.00237888,0.00610183,1.05078,0.597605,n/a,optimized_regression,0.03125,1,0,8388608,4096
NVIDIA H200,bf16,4,1024,32,64,131072,true,20,100,tc_split,transform,0.0337389,0.03328,0.034336,2.50025,0.739847,0.0149536,0.00166403,0.00376828,0.500427,0.999708,n/a,optimized_regression,0.015625,1,0,8388608,4096
NVIDIA H200,bf16,4,1024,32,64,131072,true,20,100,unfused_int4,fused_int4,0.126167,0.125472,0.130496,1,0.355403,,,,,,reference,optimized_regression,,,,,4096
NVIDIA H200,bf16,4,1024,32,64,131072,true,20,100,fused_opt_int4,fused_int4,0.0843238,0.083936,0.084736,1.49622,0.531759,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,bf16,4,1024,32,64,131072,true,20,100,fused_warp_int4,fused_int4,0.04484,0.04448,0.045184,2.81371,1,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,bf16,4,1024,32,64,131072,true,20,100,fused_tc_fast_int4,fused_int4,0.0284822,0.028,0.03264,4.42966,1.57431,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,bf16,4,1024,32,64,131072,true,20,100,fused_tc_split_int4,fused_int4,0.0340547,0.033536,0.03952,3.70482,1.3167,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,bf16,4,1024,32,128,131072,true,20,100,baseline,transform,0.100355,0.099488,0.102336,1,0.447391,0.0155252,0.00165944,0.00386611,0.499989,1,n/a,optimized_regression,0,1,0,16777216,4096
NVIDIA H200,bf16,4,1024,32,128,131072,true,20,100,optimized,transform,0.0454326,0.0448,0.048256,2.20887,0.98823,0.0155252,0.00165944,0.00386611,0.499989,1,n/a,optimized_regression,0,1,0,16777216,4096
NVIDIA H200,bf16,4,1024,32,128,131072,true,20,100,warp,transform,0.0448979,0.044416,0.04592,2.23518,1,0.0155252,0.00165944,0.00386611,0.499989,1,n/a,optimized_regression,0,1,0,16777216,4096
NVIDIA H200,bf16,4,1024,32,128,131072,true,20,100,tc_fast,transform,0.0511203,0.050624,0.052128,1.96311,0.878279,0.0166948,0.00235075,0.00522791,1.01288,0.58666,n/a,optimized_regression,0.03125,1,0,16777216,4096
