gpu,backend,dim,cache_control,duration_us,dram_bytes,byte_source,useful_gflops,useful_flops_per_dram_byte,static_shared,dynamic_shared,registers,short_scoreboard,mio_throttle,tensor_active_pct
NVIDIA H200,ptx_fast,128,all,4.992,4199167.999104,NCU DRAM rate * NCU duration,2940.7179487179487,3.4959458643074934,0.0,0.0,32.0,0.97643,2.111512,4.247677
NVIDIA H200,ptx_fast,128,none,4.288,803840.001856,NCU DRAM rate * NCU duration,3423.5223880597014,18.26242033999919,0.0,0.0,32.0,0.883814,0.562827,4.960119
NVIDIA H200,ptx_fast,256,all,6.879999999999999,8393214.719999999,NCU DRAM rate * NCU duration,4877.0976744186055,3.997804550388055,0.0,0.0,32.0,1.05554,2.289621,6.148112
NVIDIA H200,ptx_fast,256,none,6.176,473856.00246399996,NCU DRAM rate * NCU duration,5433.036269430052,70.81145290029161,0.0,0.0,32.0,1.015094,1.001212,6.889717
NVIDIA H200,ptx_fast,64,all,3.1999999999999997,2102272.0,NCU DRAM rate * NCU duration,1966.08,2.9926936190940086,0.0,0.0,32.0,1.211077,0.518172,3.32908
NVIDIA H200,ptx_fast,64,none,3.072,201471.99897599997,NCU DRAM rate * NCU duration,2048.0,31.22744615617508,0.0,0.0,32.0,0.807258,0.331697,3.476136
NVIDIA H200,ptx_split,128,all,4.832,4199424.001375999,NCU DRAM rate * NCU duration,3038.092715231788,3.495732746964792,0.0,0.0,32.0,0.715732,1.455231,6.597112
NVIDIA H200,ptx_split,128,none,4.3839999999999995,843519.9994559999,NCU DRAM rate * NCU duration,3348.5547445255474,17.40333840272598,0.0,0.0,32.0,0.62328,0.255886,7.293303
NVIDIA H200,ptx_split,256,all,7.168,8394494.976,NCU DRAM rate * NCU duration,4681.142857142858,3.9971948397053874,0.0,0.0,32.0,0.615137,1.210565,8.902843
NVIDIA H200,ptx_split,256,none,6.272,545536.001024,NCU DRAM rate * NCU duration,5349.877551020409,61.50727346502624,0.0,0.0,32.0,0.552188,0.237125,10.217451
NVIDIA H200,ptx_split,64,all,3.264,2102528.000832,NCU DRAM rate * NCU duration,1927.529411764706,2.992329232956889,0.0,0.0,32.0,0.940698,0.398771,4.866779
NVIDIA H200,ptx_split,64,none,3.3599999999999994,201984.00095999998,NCU DRAM rate * NCU duration,1872.457142857143,31.148288825340835,0.0,0.0,32.0,0.72257,0.271697,4.772521
NVIDIA H200,warp,128,all,4.928,4198656.0,NCU DRAM rate * NCU duration,2978.909090909091,3.4963721724285106,0.0,0.0,21.0,1.87413,1.181387,0.0
NVIDIA H200,warp,128,none,4.704,897535.9995839999,NCU DRAM rate * NCU duration,3120.7619047619055,16.355961216936237,0.0,0.0,21.0,1.798979,0.648654,0.0
NVIDIA H200,warp,256,all,6.432,8394493.248,NCU DRAM rate * NCU duration,5216.796019900497,3.9971956625248812,0.0,0.0,24.0,1.25863,0.929677,0.0
NVIDIA H200,warp,256,none,5.727999999999999,553727.9996479999,NCU DRAM rate * NCU duration,5857.966480446928,60.5973185775873,0.0,0.0,24.0,1.498403,1.288698,0.0
NVIDIA H200,warp,64,all,3.84,2100736.00128,NCU DRAM rate * NCU duration,1638.4000000000003,2.9948817919845956,0.0,0.0,16.0,2.857348,0.962307,0.0
NVIDIA H200,warp,64,none,3.488,399103.998784,NCU DRAM rate * NCU duration,1803.7431192660551,15.763951298831795,0.0,0.0,16.0,3.237064,0.598908,0.0
NVIDIA H200,wmma_fast,128,all,6.304,4199167.9992,NCU DRAM rate * NCU duration,2328.6903553299494,3.49594586422757,0.0,9728.0,32.0,6.163585,9.674514,3.319655
NVIDIA H200,wmma_fast,128,none,6.176,742143.999328,NCU DRAM rate * NCU duration,2376.953367875648,19.780614022740295,0.0,9728.0,32.0,6.528578,8.721473,3.425766
NVIDIA H200,wmma_fast,256,all,10.144,8393472.003488,NCU DRAM rate * NCU duration,3307.810725552051,3.9976820064516905,0.0,9728.0,32.0,8.024887,14.375102,4.142283
NVIDIA H200,wmma_fast,256,none,9.951999999999998,459776.00086399994,NCU DRAM rate * NCU duration,3371.6270096463027,72.97995531942799,0.0,9728.0,32.0,8.265145,14.981691,4.231467
