gpu,dtype,tokens,head_dim,normalize,backend,round,us,max_abs,pass,nodes,replays,measurement
NVIDIA H200,float16,16384,512,1,dao,0,11.924000084400177,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,0,26.82340145111084,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,0,11.496400088071823,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,0,11.45320013165474,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,0,11.598200350999832,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,1,11.92459985613823,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,1,11.568199843168259,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,1,11.4437997341156,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,1,11.49040013551712,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,1,26.811200380325317,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,2,11.501400172710419,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,2,11.429200321435928,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,2,11.562799662351608,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,2,11.926399916410446,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,2,26.781800389289856,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,3,11.511000245809555,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,3,26.794201135635376,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,3,11.911600083112717,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,3,11.576999723911285,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,3,11.51219978928566,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,4,11.614800244569778,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,4,11.924400180578232,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,4,26.907798647880554,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,4,11.562000215053558,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,4,11.509600281715393,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,5,11.580400168895721,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,5,11.434400081634521,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,5,11.567199975252151,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,5,26.81480050086975,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,5,11.91139966249466,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,6,26.81320011615753,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,6,11.527200043201447,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,6,11.43999993801117,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,6,11.608800292015076,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,6,11.96499988436699,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,7,26.875200867652893,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,7,11.967399716377258,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,7,11.595799773931503,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,7,11.441999673843384,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,7,11.51600033044815,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,8,11.459799855947495,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,8,11.514200270175934,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,8,11.970999836921692,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,8,26.871401071548462,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,8,11.502400040626526,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,0,81.50699734687805,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,0,215.8344030380249,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,0,77.85040140151978,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,0,79.90919947624207,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,0,79.83919978141785,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,1,81.5530002117157,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,1,79.8691987991333,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,1,79.93599772453308,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,1,77.9528021812439,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,1,218.04120540618896,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,2,78.94899845123291,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,2,80.63880205154419,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,2,80.41920065879822,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,2,81.54799938201904,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,2,216.72520637512207,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,3,78.48140001296997,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,3,216.7046070098877,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,3,81.59880042076111,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,3,80.37739992141724,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,3,80.47019839286804,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,4,80.41639924049377,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,4,81.59139752388,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,4,216.73040390014648,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,4,78.53080034255981,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,4,80.5840015411377,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,5,80.45840263366699,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,5,80.50959706306458,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,5,78.39400172233582,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,5,216.61999225616455,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,5,81.58720135688782,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,6,216.71640872955322,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,6,78.48820090293884,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,6,80.55300116539001,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,6,80.48539757728577,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,6,81.59160017967224,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,7,216.71700477600098,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,7,81.5991997718811,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,7,81.27999901771545,,True,16,10,graph_amortized_device
