gpu,dtype,tokens,head_dim,normalize,backend,median_us,min_us,max_us,repeats,all_pass,process,control_us,speedup
NVIDIA H200,bfloat16,131072,1024,1,f4_q0/fused_warp,172.26660251617432,170.99299430847168,172.99000024795532,9,True,quant_repeat_1,172.26660251617432,1.0
NVIDIA H200,bfloat16,131072,1024,1,f4_q1/fused_warp,162.49200105667114,161.38160228729248,163.7294054031372,9,True,quant_repeat_1,172.26660251617432,1.0601543546509355
NVIDIA H200,bfloat16,131072,1024,1,f8_q1/fused_warp,162.2630000114441,161.08280420303345,163.59360218048096,9,True,quant_repeat_1,172.26660251617432,1.0616505457437906
NVIDIA H200,bfloat16,131072,512,1,f4_q0/fused_warp,82.00340270996094,81.39700293540955,82.12500214576721,9,True,quant_repeat_1,82.00340270996094,1.0
NVIDIA H200,bfloat16,131072,512,1,f4_q1/fused_warp,84.29380059242249,83.67559909820557,84.60019826889038,9,True,quant_repeat_1,82.00340270996094,0.9728283946581543
NVIDIA H200,bfloat16,131072,512,1,f8_q1/fused_warp,84.11499857902527,83.47439765930176,85.37319898605347,9,True,quant_repeat_1,82.00340270996094,0.974896321646127
NVIDIA H200,bfloat16,16384,1024,1,f4_q0/fused_warp,24.550800025463104,24.34539943933487,24.693800508975983,9,True,quant_repeat_1,24.550800025463104,1.0
NVIDIA H200,bfloat16,16384,1024,1,f4_q1/fused_warp,23.032400012016296,22.929200530052185,23.216399550437927,9,True,quant_repeat_1,24.550800025463104,1.0659245242638473
NVIDIA H200,bfloat16,16384,1024,1,f8_q1/fused_warp,23.10820072889328,23.060999810695648,23.36139976978302,9,True,quant_repeat_1,24.550800025463104,1.0624280234317887
NVIDIA H200,bfloat16,16384,512,1,f4_q0/fused_warp,11.660999804735184,11.589200049638748,11.671999841928482,9,True,quant_repeat_1,11.660999804735184,1.0
NVIDIA H200,bfloat16,16384,512,1,f4_q1/fused_warp,11.912400275468826,11.85000017285347,11.953800171613693,9,True,quant_repeat_1,11.660999804735184,0.9788959013364124
NVIDIA H200,bfloat16,16384,512,1,f8_q1/fused_warp,12.171199917793274,12.089599668979645,12.239400297403336,9,True,quant_repeat_1,11.660999804735184,0.9580813628480278
NVIDIA H200,float16,131072,1024,1,f4_q0/fused_warp,170.62599658966064,169.31519508361816,172.66980409622192,9,True,quant_repeat_1,170.62599658966064,1.0
NVIDIA H200,float16,131072,1024,1,f4_q1/fused_warp,160.9537959098816,159.87260341644287,163.68680000305176,9,True,quant_repeat_1,170.62599658966064,1.060093026232165
NVIDIA H200,float16,131072,1024,1,f8_q1/fused_warp,160.98140478134155,158.71180295944214,162.41559982299805,9,True,quant_repeat_1,170.62599658966064,1.0599112165869045
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,78.48619818687439,77.82920002937317,84.75900292396545,9,True,quant_repeat_1,78.48619818687439,1.0
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,80.54540157318115,79.9131989479065,91.90260171890259,9,True,quant_repeat_1,78.48619818687439,0.9744342526564247
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,80.45660257339478,80.41300177574158,93.11360120773315,9,True,quant_repeat_1,78.48619818687439,0.9755097242053823
NVIDIA H200,float16,16384,1024,1,f4_q0/fused_warp,24.274399876594543,24.133600294589996,24.31039959192276,9,True,quant_repeat_1,24.274399876594543,1.0
NVIDIA H200,float16,16384,1024,1,f4_q1/fused_warp,23.01180064678192,22.855600714683533,23.037399351596832,9,True,quant_repeat_1,24.274399876594543,1.054867467748083
NVIDIA H200,float16,16384,1024,1,f8_q1/fused_warp,22.93879985809326,22.79359996318817,22.98399955034256,9,True,quant_repeat_1,24.274399876594543,1.058224494165507
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,11.57199963927269,11.550000309944153,11.629799753427505,9,True,quant_repeat_1,11.57199963927269,1.0
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,11.385399848222733,11.368600279092789,11.4376001060009,9,True,quant_repeat_1,11.57199963927269,1.0163893928660823
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,11.539199948310852,11.529000103473663,11.562000215053558,9,True,quant_repeat_1,11.57199963927269,1.002842457978782
NVIDIA H200,bfloat16,131072,1024,1,f4_q0/fused_warp,172.2946047782898,171.0271954536438,173.58280420303345,9,True,quant_repeat_2,172.2946047782898,1.0
NVIDIA H200,bfloat16,131072,1024,1,f4_q1/fused_warp,162.61019706726074,161.39520406723022,163.64439725875854,9,True,quant_repeat_2,172.2946047782898,1.0595559681108022
NVIDIA H200,bfloat16,131072,1024,1,f8_q1/fused_warp,162.40220069885254,161.17520332336426,163.46800327301025,9,True,quant_repeat_2,172.2946047782898,1.0609129927849996
NVIDIA H200,bfloat16,131072,512,1,f4_q0/fused_warp,81.96660280227661,81.38099908828735,82.09859728813171,9,True,quant_repeat_2,81.96660280227661,1.0
NVIDIA H200,bfloat16,131072,512,1,f4_q1/fused_warp,84.29219722747803,83.69380235671997,88.70859742164612,9,True,quant_repeat_2,81.96660280227661,0.9724103238295548
NVIDIA H200,bfloat16,131072,512,1,f8_q1/fused_warp,84.10940170288086,83.48479866981506,87.30760216712952,9,True,quant_repeat_2,81.96660280227661,0.9745236696823293
NVIDIA H200,bfloat16,16384,1024,1,f4_q0/fused_warp,24.41760003566742,24.379000067710876,24.596799910068512,9,True,quant_repeat_2,24.41760003566742,1.0
NVIDIA H200,bfloat16,16384,1024,1,f4_q1/fused_warp,23.036600649356842,22.950200736522675,23.182399570941925,9,True,quant_repeat_2,24.41760003566742,1.0599480542867827
NVIDIA H200,bfloat16,16384,1024,1,f8_q1/fused_warp,23.101399838924408,23.07019978761673,23.2697993516922,9,True,quant_repeat_2,24.41760003566742,1.0569749108677517
NVIDIA H200,bfloat16,16384,512,1,f4_q0/fused_warp,11.587399989366531,11.565999686717987,11.599399894475937,9,True,quant_repeat_2,11.587399989366531,1.0
NVIDIA H200,bfloat16,16384,512,1,f4_q1/fused_warp,11.857599765062332,11.830999702215195,11.911000311374664,9,True,quant_repeat_2,11.587399989366531,0.9772129451955422
NVIDIA H200,bfloat16,16384,512,1,f8_q1/fused_warp,12.154199928045273,12.137000262737274,12.16140016913414,9,True,quant_repeat_2,11.587399989366531,0.9533659194324362
NVIDIA H200,float16,131072,1024,1,f4_q0/fused_warp,170.84660530090332,169.3459987640381,173.02440404891968,9,True,quant_repeat_2,170.84660530090332,1.0
NVIDIA H200,float16,131072,1024,1,f4_q1/fused_warp,160.81299781799316,159.28020477294922,163.38560581207275,9,True,quant_repeat_2,170.84660530090332,1.062393013121154
NVIDIA H200,float16,131072,1024,1,f8_q1/fused_warp,160.92640161514282,159.80900526046753,161.78699731826782,9,True,quant_repeat_2,170.84660530090332,1.061644351617858
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,78.48820090293884,77.85040140151978,85.1177990436554,9,True,quant_repeat_2,78.48820090293884,1.0
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,80.55300116539001,79.90919947624207,91.80660247802734,9,True,quant_repeat_2,78.48820090293884,0.9743671839338207
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,80.41920065879822,79.83919978141785,91.05520248413086,9,True,quant_repeat_2,78.48820090293884,0.9759883244294829
NVIDIA H200,float16,16384,1024,1,f4_q0/fused_warp,24.21880066394806,24.077799916267395,24.3259996175766,9,True,quant_repeat_2,24.21880066394806,1.0
NVIDIA H200,float16,16384,1024,1,f4_q1/fused_warp,22.910000383853912,22.838599979877472,23.060399293899536,9,True,quant_repeat_2,24.21880066394806,1.0571279030190037
NVIDIA H200,float16,16384,1024,1,f8_q1/fused_warp,22.929400205612183,22.80299961566925,22.96620011329651,9,True,quant_repeat_2,24.21880066394806,1.056233501390075
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,11.511000245809555,11.49040013551712,11.567199975252151,9,True,quant_repeat_2,11.511000245809555,1.0
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,11.4437997341156,11.429200321435928,11.51219978928566,9,True,quant_repeat_2,11.511000245809555,1.0058722201764525
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,11.580400168895721,11.514200270175934,11.614800244569778,9,True,quant_repeat_2,11.511000245809555,0.9940071222000971
NVIDIA H200,bfloat16,131072,1024,1,f4_q0/fused_warp,172.43800163269043,171.0055947303772,173.21900129318237,9,True,quant_repeat_3,172.43800163269043,1.0
NVIDIA H200,bfloat16,131072,1024,1,f4_q1/fused_warp,162.47999668121338,161.33160591125488,163.67000341415405,9,True,quant_repeat_3,172.43800163269043,1.061287574808453
NVIDIA H200,bfloat16,131072,1024,1,f8_q1/fused_warp,162.30560541152954,161.09919548034668,163.48520517349243,9,True,quant_repeat_3,172.43800163269043,1.0624278883989864
NVIDIA H200,bfloat16,131072,512,1,f4_q0/fused_warp,81.90619945526123,81.39700293540955,82.3058009147644,9,True,quant_repeat_3,81.90619945526123,1.0
NVIDIA H200,bfloat16,131072,512,1,f4_q1/fused_warp,84.28699970245361,83.68319869041443,86.872398853302,9,True,quant_repeat_3,81.90619945526123,0.9717536481830296
NVIDIA H200,bfloat16,131072,512,1,f8_q1/fused_warp,84.09900069236755,83.4991991519928,86.72159910202026,9,True,quant_repeat_3,81.90619945526123,0.9739259537086826
NVIDIA H200,bfloat16,16384,1024,1,f4_q0/fused_warp,24.460799992084503,24.36559945344925,24.586200714111328,9,True,quant_repeat_3,24.460799992084503,1.0
NVIDIA H200,bfloat16,16384,1024,1,f4_q1/fused_warp,23.019999265670776,22.963599860668182,23.142999410629272,9,True,quant_repeat_3,24.460799992084503,1.0625890865497274
NVIDIA H200,bfloat16,16384,1024,1,f8_q1/fused_warp,23.108400404453278,23.064200580120087,23.24720025062561,9,True,quant_repeat_3,24.460799992084503,1.0585241541587016
NVIDIA H200,bfloat16,16384,512,1,f4_q0/fused_warp,11.695200204849243,11.653199791908264,11.726000159978867,9,True,quant_repeat_3,11.695200204849243,1.0
NVIDIA H200,bfloat16,16384,512,1,f4_q1/fused_warp,11.91440001130104,11.910399794578552,11.949200183153152,9,True,quant_repeat_3,11.695200204849243,0.9816021112062813
NVIDIA H200,bfloat16,16384,512,1,f8_q1/fused_warp,12.168999761343002,12.157200276851654,12.199000269174576,9,True,quant_repeat_3,11.695200204849243,0.9610650369146305
NVIDIA H200,float16,131072,1024,1,f4_q0/fused_warp,170.64579725265503,169.39220428466797,173.54379892349243,9,True,quant_repeat_3,170.64579725265503,1.0
NVIDIA H200,float16,131072,1024,1,f4_q1/fused_warp,160.5347990989685,159.72720384597778,163.4637951850891,9,True,quant_repeat_3,170.64579725265503,1.062983217411031
NVIDIA H200,float16,131072,1024,1,f8_q1/fused_warp,160.971200466156,159.84359979629517,162.69320249557495,9,True,quant_repeat_3,170.64579725265503,1.0601014141565845
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,78.47639918327332,77.87860035896301,84.93660092353821,9,True,quant_repeat_3,78.47639918327332,1.0
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,80.47760128974915,79.94319796562195,89.0940010547638,9,True,quant_repeat_3,78.47639918327332,0.9751334275077265
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,80.47279715538025,79.84259724617004,91.09619855880737,9,True,quant_repeat_3,78.47639918327332,0.9751916418631229
NVIDIA H200,float16,16384,1024,1,f4_q0/fused_warp,24.15899932384491,24.108600616455078,24.336400628089905,9,True,quant_repeat_3,24.15899932384491,1.0
NVIDIA H200,float16,16384,1024,1,f4_q1/fused_warp,22.890199720859528,22.83399999141693,23.044399917125702,9,True,quant_repeat_3,24.15899932384491,1.0554298179333552
NVIDIA H200,float16,16384,1024,1,f8_q1/fused_warp,22.835199534893036,22.784200310707092,22.961999475955963,9,True,quant_repeat_3,24.15899932384491,1.0579718949654484
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,11.55959963798523,11.555799841880798,11.63180023431778,9,True,quant_repeat_3,11.55959963798523,1.0
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,11.384999752044678,11.369399726390839,11.414600163698196,9,True,quant_repeat_3,11.55959963798523,1.0153359586950534
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,11.608800292015076,11.600600183010101,11.66440024971962,9,True,quant_repeat_3,11.55959963798523,0.9957617796161341
