gpu,dtype,tokens,head_dim,normalize,backend,median_us,min_us,max_us,repeats,all_pass
NVIDIA H200,bfloat16,1,128,0,dao,1.5721999108791351,1.571200042963028,1.57260000705719,5,True
NVIDIA H200,bfloat16,1,128,0,dao_plus_quant,2.8961999341845512,2.8960000723600388,2.898400090634823,5,True
NVIDIA H200,bfloat16,1,128,0,hopper/mma_fast,1.4166000299155712,1.3992000371217728,1.4183999970555305,5,True
NVIDIA H200,bfloat16,1,128,0,hopper/mma_split,1.4364000409841537,1.433200016617775,1.4379999600350857,5,True
NVIDIA H200,bfloat16,1,128,0,hopper/warp,1.4175999909639359,1.3980000279843807,1.4189999550580978,5,True
NVIDIA H200,bfloat16,1,128,0,hopper/wmma_fast,1.430600043386221,1.4298000372946262,1.4340000227093697,5,True
NVIDIA H200,bfloat16,1,128,0,hopper/wmma_split,1.421200018376112,1.418600045144558,1.4229999855160713,5,True
NVIDIA H200,bfloat16,1,128,1,dao,1.5321999788284302,1.517799962311983,1.5475999563932419,5,True
NVIDIA H200,bfloat16,1,128,1,dao_plus_quant,2.927199937403202,2.890400029718876,2.930000051856041,5,True
NVIDIA H200,bfloat16,1,128,1,hopper/mma_fast,1.4183999970555305,1.4167999848723412,1.4374000020325184,5,True
NVIDIA H200,bfloat16,1,128,1,hopper/mma_split,1.408199965953827,1.4073999598622322,1.4101999811828136,5,True
NVIDIA H200,bfloat16,1,128,1,hopper/warp,1.396199967712164,1.3939999975264072,1.3989999890327454,5,True
NVIDIA H200,bfloat16,1,128,1,hopper/wmma_fast,1.4402000233530998,1.4221999794244766,1.4433999545872211,5,True
NVIDIA H200,bfloat16,1,128,1,hopper/wmma_split,1.396000012755394,1.394800003618002,1.4124000445008278,5,True
NVIDIA H200,bfloat16,1,256,0,dao,1.6462000086903572,1.6448000445961952,1.650400087237358,5,True
NVIDIA H200,bfloat16,1,256,0,dao_plus_quant,2.973799966275692,2.971000038087368,2.976199984550476,5,True
NVIDIA H200,bfloat16,1,256,0,hopper/mma_fast,1.5316000208258629,1.5293999575078487,1.5320000238716602,5,False
NVIDIA H200,bfloat16,1,256,0,hopper/mma_split,1.5917999669909477,1.5866000205278397,1.5930000692605972,5,False
NVIDIA H200,bfloat16,1,256,0,hopper/warp,1.4976000413298607,1.4965999871492386,1.5030000358819962,5,True
NVIDIA H200,bfloat16,1,256,0,hopper/wmma_fast,1.7748000100255013,1.772800087928772,1.7750000581145287,5,False
NVIDIA H200,bfloat16,1,256,0,hopper/wmma_split,1.9085999578237534,1.9053999334573746,1.9096000120043755,5,False
NVIDIA H200,bfloat16,1,256,1,dao,1.6341999173164368,1.6340000554919243,1.6356000676751137,5,True
NVIDIA H200,bfloat16,1,256,1,dao_plus_quant,2.961600013077259,2.9603999108076096,2.9621999710798264,5,True
