case,checked_tokens,trace_bit_exact,p_max_abs,split_representation_max_abs,first_mma_propagated_max_abs,split_representation_propagated_max_abs,later_gpu_accum_max_abs,native_max_abs,rounded_exact_vs_library_max_abs
011_fp16_d128_n2048_norm0_normal,2048,True,8.940696716308594e-07,9.5367431640625e-07,8.940696716308594e-07,1.430511474609375e-06,5.7220458984375e-06,0.015625,0.00390625
017_fp16_d256_n2048_norm0_normal,2048,True,9.5367431640625e-07,1.9073486328125e-06,1.0132789611816406e-06,1.9073486328125e-06,5.7220458984375e-06,0.015625,0.0078125
023_fp16_d512_n2048_norm0_normal,2048,True,8.940696716308594e-07,9.5367431640625e-07,1.1920928955078125e-06,1.9073486328125e-06,1.049041748046875e-05,0.03125,0.015625
029_fp16_d1024_n2048_norm0_normal,2048,True,9.5367431640625e-07,1.9073486328125e-06,1.1920928955078125e-06,1.9073486328125e-06,1.811981201171875e-05,0.03125,0.0625
035_bf16_d64_n2048_norm0_normal,2048,True,4.76837158203125e-07,6.103515625e-05,4.76837158203125e-07,0.0001220703125,9.5367431640625e-07,0.0625,0.0
041_bf16_d128_n2048_norm0_normal,2048,True,8.642673492431641e-07,6.103515625e-05,8.642673492431641e-07,0.0001220703125,1.9073486328125e-06,0.125,0.0
047_bf16_d256_n2048_norm0_normal,2048,True,8.344650268554688e-07,0.0001220703125,8.344650268554688e-07,0.0001373291015625,6.67572021484375e-06,0.125,0.0
053_bf16_d512_n2048_norm0_normal,2048,True,7.152557373046875e-07,0.0001220703125,7.152557373046875e-07,0.0001983642578125,5.7220458984375e-06,0.25,0.001953125
059_bf16_d1024_n2048_norm0_normal,2048,True,8.940696716308594e-07,0.0001220703125,8.940696716308594e-07,0.00023365020751953125,7.62939453125e-06,0.5,0.125
071_fp16_d64_n5_norm0_outlier,4,True,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,6.198883056640625e-06,0.015625,0.015625
107_bf16_d64_n5_norm0_outlier,4,True,2.86102294921875e-06,0.00023651123046875,2.86102294921875e-06,0.00023651123046875,2.86102294921875e-06,0.25,0.0
