api_name,calls,total_ms,avg_us,min_us,max_us
cudaMalloc_v3020,18,110.669882,6148.32678,1.487,110006.517
cudaMemcpy_v3020,22,3.930793,178.672409,18.262,477.816
cudaLaunchKernel_v7000,289,2.512723,8.69454325,2.418,599.103
cuLibraryLoadData,3,2.170253,723.417667,524.765,873.772
cudaEventSynchronize_v3020,200,2.004515,10.022575,6.134,20.18
cudaFree_v3020,18,1.18834,66.0188889,1.71,194.173
cudaEventRecord_v3020,400,0.696913,1.7422825,1.275,10.759
cudaStreamSynchronize_v3020,14,0.321366,22.9547143,9.758,62.139
cudaStreamCreate_v3020,1,0.030172,30.172,30.172,30.172
cuKernelGetName,289,0.027572,0.0954048443,0.062,0.75
cudaEventCreate_v3020,20,0.02069,1.0345,0.4,8.866
cudaStreamDestroy_v5050,1,0.013826,13.826,13.826,13.826
cudaEventDestroy_v3020,20,0.008739,0.43695,0.313,1.338
cuLibraryGetKernel,10,0.005499,0.5499,0.318,0.892
cuModuleGetLoadingMode,1,0.000948,0.948,0.948,0.948
cudaGetDeviceProperties_v12000,1,0.0002,0.2,0.2,0.2
