Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
89.5,110669882,18,6148326.8,63579.5,1487,110006517,25919610.6,cudaMalloc
3.2,3930793,22,178672.4,144728.5,18262,477816,157452.8,cudaMemcpy
2.0,2512723,289,8694.5,2710.0,2418,599103,53178.7,cudaLaunchKernel
1.8,2170253,3,723417.7,771716.0,524765,873772,179446.4,cuLibraryLoadData
1.6,2004515,200,10022.6,8530.5,6134,20180,3428.8,cudaEventSynchronize
1.0,1188340,18,66018.9,77549.5,1710,194173,63192.8,cudaFree
0.6,696913,400,1742.3,1685.0,1275,10759,583.1,cudaEventRecord
0.3,321366,14,22954.7,17473.5,9758,62139,16081.3,cudaStreamSynchronize
0.0,30172,1,30172.0,30172.0,30172,30172,0.0,cudaStreamCreate
0.0,27572,289,95.4,76.0,62,750,77.6,cuKernelGetName
0.0,20690,20,1034.5,548.0,400,8866,1873.7,cudaEventCreate
0.0,13826,1,13826.0,13826.0,13826,13826,0.0,cudaStreamDestroy
0.0,8739,20,436.9,385.0,313,1338,217.0,cudaEventDestroy
0.0,5499,10,549.9,528.0,318,892,170.5,cuLibraryGetKernel
0.0,948,1,948.0,948.0,948,948,0.0,cuModuleGetLoadingMode
0.0,200,1,200.0,200.0,200,200,0.0,cudaGetDeviceProperties_v12000
