gpu,dtype,batch_size,seq_len,num_heads,head_dim,total_tokens,normalize,warmup_runs,bench_runs,implementation,kind,avg_ms,min_ms,max_ms,speedup_vs_baseline,speedup_vs_best_non_tc,max_abs_error,rmse,max_rel_error,max_ulp_error,bit_exact_vs_optimized,quant_vs_unfused
NVIDIA L40S,fp16,4,1024,32,64,131072,true,20,100,baseline,transform,0.0734275,0.0728,0.074688,1,0.290163,0.00190067,0.000207652,0.000474557,0.5,1,n/a
NVIDIA L40S,fp16,4,1024,32,64,131072,true,20,100,optimized,transform,0.0213059,0.020832,0.023168,3.44634,1,0.00190067,0.000207652,0.000474557,0.5,1,n/a
NVIDIA L40S,fp16,4,1024,32,64,131072,true,20,100,warp,transform,0.0214112,0.020864,0.02288,3.4294,0.995083,0.00190067,0.000207652,0.000474557,0.5,1,n/a
NVIDIA L40S,fp16,4,1024,32,64,131072,true,20,100,tc_fast,transform,0.0183811,0.017632,0.029248,3.99472,1.15912,0.00213766,0.000296304,0.000786303,1.24414,0.59799,n/a
NVIDIA L40S,fp16,4,1024,32,64,131072,true,20,100,tc_split,transform,0.0217264,0.02096,0.029696,3.37965,0.980647,0.00190067,0.000207652,0.000474557,0.5,0.999989,n/a
NVIDIA L40S,fp16,4,1024,32,64,131072,true,20,100,unfused_int4,fused_int4,0.0928086,0.092448,0.093824,1,0.238009,,,,,,reference
NVIDIA L40S,fp16,4,1024,32,64,131072,true,20,100,fused_opt_int4,fused_int4,0.0733827,0.072832,0.075168,1.26472,0.301015,,,,,,bit-exact
NVIDIA L40S,fp16,4,1024,32,64,131072,true,20,100,fused_warp_int4,fused_int4,0.0220893,0.021312,0.027776,4.20152,1,,,,,,bit-exact
NVIDIA L40S,fp16,4,1024,32,64,131072,true,20,100,fused_tc_fast_int4,fused_int4,0.0185776,0.017888,0.024416,4.99573,1.18903,,,,,,bit-exact
NVIDIA L40S,fp16,4,1024,32,64,131072,true,20,100,fused_tc_split_int4,fused_int4,0.0217037,0.021184,0.02352,4.27617,1.01777,,,,,,bit-exact
NVIDIA L40S,fp16,4,1024,32,128,131072,true,20,100,baseline,transform,0.109798,0.109024,0.13152,1,0.209609,0.00181342,0.000207847,0.00046335,0.500005,1,n/a
NVIDIA L40S,fp16,4,1024,32,128,131072,true,20,100,optimized,transform,0.0387277,0.038144,0.040768,2.83514,0.594271,0.00181342,0.000207847,0.00046335,0.500005,1,n/a
NVIDIA L40S,fp16,4,1024,32,128,131072,true,20,100,warp,transform,0.0230147,0.02224,0.024416,4.77079,1,0.00181342,0.000207847,0.00046335,0.500005,1,n/a
NVIDIA L40S,fp16,4,1024,32,128,131072,true,20,100,tc_fast,transform,0.0321302,0.031488,0.039264,3.41729,0.716295,0.00211911,0.000293658,0.000756421,0.995379,0.586755,n/a
NVIDIA L40S,fp16,4,1024,32,128,131072,true,20,100,tc_split,transform,0.0387142,0.037984,0.045312,2.83612,0.594477,0.00181342,0.000207847,0.00046335,0.500005,0.999985,n/a
NVIDIA L40S,fp16,4,1024,32,128,131072,true,20,100,unfused_int4,fused_int4,0.0943715,0.0936,0.095712,1,0.305438,,,,,,reference
NVIDIA L40S,fp16,4,1024,32,128,131072,true,20,100,fused_opt_int4,fused_int4,0.0735475,0.07296,0.074816,1.28314,0.391919,,,,,,bit-exact
NVIDIA L40S,fp16,4,1024,32,128,131072,true,20,100,fused_warp_int4,fused_int4,0.0288246,0.027584,0.032768,3.27399,1,,,,,,bit-exact
NVIDIA L40S,fp16,4,1024,32,128,131072,true,20,100,fused_tc_fast_int4,fused_int4,0.0328474,0.032,0.040608,2.87303,0.877533,,,,,,bit-exact
NVIDIA L40S,fp16,4,1024,32,128,131072,true,20,100,fused_tc_split_int4,fused_int4,0.0393939,0.038656,0.047136,2.39559,0.731703,,,,,,bit-exact
NVIDIA L40S,fp16,4,1024,32,256,131072,true,20,100,baseline,transform,0.240656,0.239968,0.2432,1,0.770014,0.00176239,0.000207763,0.000442476,0.500061,1,n/a
NVIDIA L40S,fp16,4,1024,32,256,131072,true,20,100,optimized,transform,0.193,0.181216,0.20112,1.24692,0.960144,0.00176239,0.000207763,0.000442476,0.500061,1,n/a
NVIDIA L40S,fp16,4,1024,32,256,131072,true,20,100,warp,transform,0.185308,0.178208,0.1952,1.29868,1,0.00176239,0.000207763,0.000442476,0.500061,1,n/a
NVIDIA L40S,fp16,4,1024,32,256,131072,true,20,100,tc_fast,transform,0.19017,0.178112,0.198304,1.26547,0.974433,0.00224876,0.000293846,0.000677503,0.924377,0.579909,n/a
NVIDIA L40S,fp16,4,1024,32,256,131072,true,20,100,tc_split,transform,0.19098,0.186016,0.195808,1.26011,0.970301,0.00176239,0.000207763,0.000442476,0.500061,0.999959,n/a
