gpu,variant,dtype,head_dim,implementation,repeats,median_us,min_us,max_us
NVIDIA H200,w0_tc4_v1,bf16,64,baseline,3,84.2557,84.2435,84.29979999999999
NVIDIA H200,w0_tc4_v1,bf16,64,fused_opt_int4,3,84.216,84.1494,84.257
NVIDIA H200,w0_tc4_v1,bf16,64,fused_tc_fast_int4,3,21.7907,21.7878,21.8422
NVIDIA H200,w0_tc4_v1,bf16,64,fused_tc_split_int4,3,24.647,24.5578,24.667499999999997
NVIDIA H200,w0_tc4_v1,bf16,64,fused_warp_int4,3,22.8234,22.7715,22.8262
NVIDIA H200,w0_tc4_v1,bf16,64,optimized,3,24.918699999999998,24.900499999999997,24.9456
NVIDIA H200,w0_tc4_v1,bf16,64,tc_fast,3,21.339199999999998,21.3101,21.4464
NVIDIA H200,w0_tc4_v1,bf16,64,tc_split,3,24.169900000000002,24.1181,24.2438
NVIDIA H200,w0_tc4_v1,bf16,64,unfused_int4,3,98.67739999999999,98.5923,98.8048
NVIDIA H200,w0_tc4_v1,bf16,64,warp,3,16.119,16.0867,16.2566
NVIDIA H200,w0_tc4_v1,bf16,128,baseline,3,100.119,100.074,100.17399999999999
NVIDIA H200,w0_tc4_v1,bf16,128,fused_opt_int4,3,84.79549999999999,84.7859,84.8173
NVIDIA H200,w0_tc4_v1,bf16,128,fused_tc_fast_int4,3,38.5686,38.4358,38.5882
NVIDIA H200,w0_tc4_v1,bf16,128,fused_tc_split_int4,3,43.9392,43.873000000000005,43.9651
NVIDIA H200,w0_tc4_v1,bf16,128,fused_warp_int4,3,31.5808,31.575,31.6694
NVIDIA H200,w0_tc4_v1,bf16,128,optimized,3,45.2093,45.13699999999999,45.278999999999996
NVIDIA H200,w0_tc4_v1,bf16,128,tc_fast,3,38.3482,38.2909,38.3693
NVIDIA H200,w0_tc4_v1,bf16,128,tc_split,3,43.5229,43.485099999999996,43.5677
NVIDIA H200,w0_tc4_v1,bf16,128,unfused_int4,3,107.419,107.269,107.583
NVIDIA H200,w0_tc4_v1,bf16,128,warp,3,25.689,25.5427,25.8579
NVIDIA H200,w0_tc4_v1,bf16,256,baseline,3,197.793,197.792,197.937
NVIDIA H200,w0_tc4_v1,bf16,256,fused_opt_int4,3,98.81439999999999,98.77890000000001,98.9104
NVIDIA H200,w0_tc4_v1,bf16,256,fused_tc_fast_int4,3,72.04480000000001,72.00059999999999,72.0528
NVIDIA H200,w0_tc4_v1,bf16,256,fused_tc_split_int4,3,82.8301,82.7475,82.91170000000001
NVIDIA H200,w0_tc4_v1,bf16,256,fused_warp_int4,3,52.2454,52.168600000000005,52.2819
NVIDIA H200,w0_tc4_v1,bf16,256,optimized,3,85.1082,85.0762,85.2067
NVIDIA H200,w0_tc4_v1,bf16,256,tc_fast,3,70.648,70.6026,70.6947
NVIDIA H200,w0_tc4_v1,bf16,256,tc_split,3,81.1133,81.071,81.2083
NVIDIA H200,w0_tc4_v1,bf16,256,unfused_int4,3,122.776,122.69800000000001,122.839
NVIDIA H200,w0_tc4_v1,bf16,256,warp,3,41.0784,41.0422,41.141799999999996
NVIDIA H200,w0_tc4_v1,fp16,64,baseline,3,84.2861,84.2851,84.3085
NVIDIA H200,w0_tc4_v1,fp16,64,fused_opt_int4,3,84.2624,84.1872,84.2691
NVIDIA H200,w0_tc4_v1,fp16,64,fused_tc_fast_int4,3,20.715799999999998,20.711,20.7946
NVIDIA H200,w0_tc4_v1,fp16,64,fused_tc_split_int4,3,22.7629,22.7565,22.8275
NVIDIA H200,w0_tc4_v1,fp16,64,fused_warp_int4,3,22.517100000000003,22.4432,22.6576
NVIDIA H200,w0_tc4_v1,fp16,64,optimized,3,25.0016,24.918400000000002,25.012800000000002
NVIDIA H200,w0_tc4_v1,fp16,64,tc_fast,3,20.4371,20.369600000000002,20.511000000000003
NVIDIA H200,w0_tc4_v1,fp16,64,tc_split,3,22.4112,22.381800000000002,22.4653
