gpu,variant,implementation,cache_control,head_dim,total_tokens,duration_us,dram_bytes,byte_source,useful_gflops,useful_flops_per_dram_byte,tensor_active_pct,short_scoreboard,mio_throttle
NVIDIA H100 80GB HBM3,w0_tc4_v1,tc_fast,all,128,16384,6.784,4199167.999488,NCU DRAM rate * NCU duration,2163.9245283018868,3.4959458639878007,3.053086,5.994125,9.561461
NVIDIA H100 80GB HBM3,w0_tc4_v1,tc_fast,none,128,16384,6.432,282880.00320000004,NCU DRAM rate * NCU duration,2282.3482587064673,51.895022037386624,3.273191,6.519249,8.672491
NVIDIA H100 80GB HBM3,w0_tc4_v1,tc_split,all,128,16384,7.359999999999999,4199423.99968,NCU DRAM rate * NCU duration,1994.5739130434783,3.4957327483765948,4.266721,5.567771,9.723942
NVIDIA H100 80GB HBM3,w0_tc4_v1,tc_split,none,128,16384,6.911999999999999,307455.996672,NCU DRAM rate * NCU duration,2123.851851851852,47.74687811882549,4.575809,5.99159,8.514365
NVIDIA H100 80GB HBM3,w0_tc4_v1,warp,all,128,16384,5.4079999999999995,4198655.998784,NCU DRAM rate * NCU duration,2714.508875739645,3.4963721734411175,0.0,1.605388,0.910444
NVIDIA H100 80GB HBM3,w0_tc4_v1,warp,all,64,16384,4.512,2100735.9978239997,NCU DRAM rate * NCU duration,1394.3829787234044,2.994881796911589,0.0,2.678193,1.576038
NVIDIA H100 80GB HBM3,w0_tc4_v1,warp,none,64,16384,3.808,53247.998944,NCU DRAM rate * NCU duration,1652.1680672268908,118.15384849704147,0.0,3.133807,0.578279
NVIDIA H100 80GB HBM3,w0_tc4_v1,warp,none,128,16384,5.152,759040.002336,NCU DRAM rate * NCU duration,2849.391304347826,19.340303481794177,0.0,1.611626,0.793338
NVIDIA H100 80GB HBM3,w0_tc4_v2,tc_fast,all,128,16384,6.944,4199167.9999359995,NCU DRAM rate * NCU duration,2114.064516129032,3.495945863614826,2.998909,6.029879,9.69519
NVIDIA H100 80GB HBM3,w0_tc4_v2,tc_fast,none,128,16384,6.3999999999999995,227072.0,NCU DRAM rate * NCU duration,2293.76,64.64937993235625,3.279017,6.532766,8.758549
NVIDIA H100 80GB HBM3,w0_tc4_v2,tc_split,all,128,16384,7.231999999999999,4199423.997312,NCU DRAM rate * NCU duration,2029.8761061946905,3.4957327503477926,4.339627,5.574015,9.615095
NVIDIA H100 80GB HBM3,w0_tc4_v2,tc_split,none,128,16384,6.944,424960.002208,NCU DRAM rate * NCU duration,2114.064516129032,34.544578133766876,4.552409,6.035262,8.525596
NVIDIA H100 80GB HBM3,w0_tc4_v2,warp,all,128,16384,5.3759999999999994,4198656.0,NCU DRAM rate * NCU duration,2730.6666666666665,3.4963721724285106,0.0,1.565137,0.911901
NVIDIA H100 80GB HBM3,w0_tc4_v2,warp,all,64,16384,4.512,2100735.9978239997,NCU DRAM rate * NCU duration,1394.3829787234044,2.994881796911589,0.0,2.69986,1.659635
NVIDIA H100 80GB HBM3,w0_tc4_v2,warp,none,64,16384,3.936,62207.999808,NCU DRAM rate * NCU duration,1598.439024390244,101.13580278128335,0.0,3.137956,0.582952
NVIDIA H100 80GB HBM3,w0_tc4_v2,warp,none,128,16384,5.12,738048.0,NCU DRAM rate * NCU duration,2867.2,19.890391952826917,0.0,1.620203,0.823722
NVIDIA H100 80GB HBM3,w4_tc4_v0,tc_fast,all,128,16384,8.096,4199423.997472,NCU DRAM rate * NCU duration,1813.2490118577075,3.4957327502146036,2.574101,12.922498,10.304619
NVIDIA H100 80GB HBM3,w4_tc4_v0,tc_fast,none,128,16384,7.872,185855.999232,NCU DRAM rate * NCU duration,1864.8455284552845,78.98622622170616,2.673589,13.111477,10.191543
NVIDIA H100 80GB HBM3,w4_tc4_v0,tc_split,all,128,16384,9.6,4200192.0,NCU DRAM rate * NCU duration,1529.1733333333334,3.495093557627842,3.270759,10.956728,12.478285
NVIDIA H100 80GB HBM3,w4_tc4_v0,tc_split,none,128,16384,9.216,350464.002048,NCU DRAM rate * NCU duration,1592.888888888889,41.887508885975116,3.416307,11.080529,12.143869
NVIDIA H100 80GB HBM3,w4_tc4_v0,warp,all,128,16384,5.3759999999999994,4198656.0,NCU DRAM rate * NCU duration,2730.6666666666665,3.4963721724285106,0.0,1.598707,0.953457
NVIDIA H100 80GB HBM3,w4_tc4_v0,warp,all,64,16384,5.248,2100736.000384,NCU DRAM rate * NCU duration,1198.8292682926829,2.994881793261964,0.0,2.48451,0.580012
NVIDIA H100 80GB HBM3,w4_tc4_v0,warp,none,64,16384,4.96,62463.99808,NCU DRAM rate * NCU duration,1268.4387096774194,100.72131457135188,0.0,2.778705,0.143106
NVIDIA H100 80GB HBM3,w4_tc4_v0,warp,none,128,16384,5.12,771584.0,NCU DRAM rate * NCU duration,2867.2,19.02587923025879,0.0,1.61709,0.806661
NVIDIA H100 80GB HBM3,w4_tc4_v1,tc_fast,all,128,16384,6.911999999999999,4198911.996672,NCU DRAM rate * NCU duration,2123.851851851852,3.496159007770398,3.013164,5.987168,9.672497
