variant,dtype,dim,byte_stores,stores_64,stores_128
w0_f0_q0,bf16,1024,16,0,0
w0_f0_q0,bf16,512,8,0,0
w0_f0_q0,fp16,1024,16,0,0
w0_f0_q0,fp16,512,8,0,0
w0_f2_q1,bf16,1024,0,0,1
w0_f2_q1,bf16,512,0,1,0
w0_f2_q1,fp16,1024,0,0,1
w0_f2_q1,fp16,512,0,1,0
w0_f4_q1,bf16,1024,0,0,1
w0_f4_q1,bf16,512,0,1,0
w0_f4_q1,fp16,1024,0,0,1
w0_f4_q1,fp16,512,0,1,0
w0_f8_q1,bf16,1024,0,0,1
w0_f8_q1,bf16,512,0,1,0
w0_f8_q1,fp16,1024,0,0,1
w0_f8_q1,fp16,512,0,1,0
w2_f2_q0,bf16,1024,16,0,0
w2_f2_q0,bf16,512,8,0,0
w2_f2_q0,fp16,1024,16,0,0
w2_f2_q0,fp16,512,8,0,0
w4_f4_q0,bf16,1024,16,0,0
w4_f4_q0,bf16,512,8,0,0
w4_f4_q0,fp16,1024,16,0,0
w4_f4_q0,fp16,512,8,0,0
w8_f8_q0,bf16,1024,16,0,0
w8_f8_q0,bf16,512,8,0,0
w8_f8_q0,fp16,1024,16,0,0
w8_f8_q0,fp16,512,8,0,0
